id,symbol,name,current_price,market_cap,price_change_percentage_24h,total_volume,pulled_at
bitcoin,btc,Bitcoin,102121.0,2026470000000.0,-1.04983,23212416391.0,6/21/2025 19:15
ethereum,eth,Ethereum,2285.51,276151000000.0,-4.79095,16816104923.0,6/21/2025 19:15
tether,usdt,Tether,1.0,155831000000.0,0.02106,34894370102.0,6/21/2025 19:15
ripple,xrp,XRP,2.06,121408000000.0,-2.8483,2415791838.0,6/21/2025 19:15
binancecoin,bnb,BNB,628.42,91693540647.0,-2.03679,707656673.0,6/21/2025 19:15
solana,sol,Solana,135.16,71991490246.0,-3.31193,4098467925.0,6/21/2025 19:15
usd-coin,usdc,USDC,0.999804,61244373512.0,-5e-05,7238268697.0,6/21/2025 19:15
tron,trx,TRON,0.270523,25662053246.0,-0.61517,534702165.0,6/21/2025 19:15
dogecoin,doge,Dogecoin,0.154332,23064810085.0,-4.89896,955180018.0,6/21/2025 19:15
staked-ether,steth,Lido Staked Ether,2277.47,21047554696.0,-5.05363,17928129.0,6/21/2025 19:15
cardano,ada,Cardano,0.552992,20025756195.0,-4.33835,617963213.0,6/21/2025 19:15
wrapped-bitcoin,wbtc,Wrapped Bitcoin,101917.0,13127313900.0,-1.1871,222629080.0,6/21/2025 19:15
hyperliquid,hype,Hyperliquid,33.81,11444845504.0,2.27694,323891711.0,6/21/2025 19:15
wrapped-steth,wsteth,Wrapped stETH,2756.59,9810264528.0,-5.02683,12118123.0,6/21/2025 19:15
bitcoin-cash,bch,Bitcoin Cash,464.36,9278259255.0,-1.76246,281763864.0,6/21/2025 19:15
sui,sui,Sui,2.56,8729596873.0,-5.54165,836244660.0,6/21/2025 19:15
leo-token,leo,LEO Token,8.96,8273328843.0,0.93652,2388948.0,6/21/2025 19:15
chainlink,link,Chainlink,11.99,8144829719.0,-4.14124,332111237.0,6/21/2025 19:15
stellar,xlm,Stellar,0.236152,7379279329.0,-2.40218,145609928.0,6/21/2025 19:15
usds,usds,USDS,0.999761,7130429256.0,0.00337,3291106.0,6/21/2025 19:15
avalanche-2,avax,Avalanche,16.79,7088445147.0,-3.52998,353542207.0,6/21/2025 19:15
the-open-network,ton,Toncoin,2.86,7042554153.0,-2.46743,153425169.0,6/21/2025 19:15
whitebit,wbt,WhiteBIT Coin,48.51,6997645308.0,-0.94754,37716050.0,6/21/2025 19:15
shiba-inu,shib,Shiba Inu,1.09e-05,6425254841.0,-3.68535,149347402.0,6/21/2025 19:15
binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),1.001,6270676132.0,0.15894,4847119509.0,6/21/2025 19:15
litecoin,ltc,Litecoin,80.03,6076418847.0,-3.46185,277032897.0,6/21/2025 19:15
weth,weth,WETH,2275.96,6052423045.0,-5.21663,314618388.0,6/21/2025 19:15
wrapped-eeth,weeth,Wrapped eETH,2434.67,5975630585.0,-5.22067,3982991.0,6/21/2025 19:15
hedera-hashgraph,hbar,Hedera,0.137297,5826735980.0,-5.05478,116720497.0,6/21/2025 19:15
monero,xmr,Monero,308.14,5689000572.0,-0.80724,56966432.0,6/21/2025 19:15
ethena-usde,usde,Ethena USDe,0.999875,5615259910.0,-0.04572,89706925.0,6/21/2025 19:15
polkadot,dot,Polkadot,3.32,5051245499.0,-3.53471,186959725.0,6/21/2025 19:15
bitget-token,bgb,Bitget Token,4.2,4908799514.0,-0.84116,57879199.0,6/21/2025 19:15
